 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53,60702,1,1,47,63,47,47,47.0,0.0,63,63,63.0,0.0,1812.131396,32.94784356,60702.0,0.0,60702,60702,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,28,16.47392178,16.47392178,47,63,52.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,78.5,47.0,63.0,32,0,0,0,0,0,0,1,47,1,63,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,50370,1,1,46,62,46,46,46.0,0.0,62,62,62.0,0.0,2144.133413,39.70617431,50370.0,0.0,50370,50370,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,19.85308716,19.85308716,46,62,51.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,77.0,46.0,62.0,32,0,0,0,0,0,0,1,46,1,62,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53673,58910,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,305.5508403,50.92514004,29455.0,41648.58941,58905,5,58910,58910.0,0.0,58910,58910,0,0.0,0.0,0,0,0,0,0,0,40,20,33.95009336,16.97504668,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,6.0,40,0,0,0,0,0,0,2,12,1,6,60,255,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23540,1,1,47,79,47,47,47.0,0.0,79,79,79.0,0.0,5352.591334,84.9617672,23540.0,0.0,23540,23540,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,42.4808836,42.4808836,47,79,57.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,86.5,47.0,79.0,32,0,0,0,0,0,0,1,47,1,79,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
55025,4,2,0,280,0,274,6,140.0,189.5046174,0,0,0.0,0.0,70000000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,40,0,500000.0,0.0,6,274,184.6666667,154.7298721,23941.33333,0,1,0,0,1,0,0,0,0,277.0,140.0,0.0,40,0,0,0,0,0,0,2,280,0,0,60,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
34192,56,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,35714.28571,56.0,0.0,56,56,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,17857.14286,17857.14286,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,62,2233,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,28590,2,2,84,192,42,42,42.0,0.0,96,96,96.0,0.0,9653.725079,139.9090591,9530.0,16423.30576,28494,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,80,64,69.95452956,69.95452956,42,96,63.6,29.57701811,874.8,0,0,0,0,0,0,0,0,1,79.5,42.0,96.0,80,0,0,0,0,0,0,2,84,2,192,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,146,2,2,88,120,44,44,44.0,0.0,60,60,60.0,0.0,1424657.534,27397.26027,48.66666667,78.23255929,139,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,13698.63014,13698.63014,44,60,50.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,63.0,44.0,60.0,64,0,0,0,0,0,0,2,88,2,120,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
61577,55,3,4,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,127272.7273,9.166666667,19.51836742,49,1,2,1.0,0.0,1,1,51,17.0,27.71281292,49,1,0,0,0,0,96,176,54545.45455,72727.27273,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,4,0,65535,408,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,16901534,7,6,776,956,376,0,110.8571429,181.1403034,472,0,159.3333333,242.2054225,102.4759054,0.769160953,1408461.167,3108193.587,9800578,75,11100000,1850490.167,3904169.77,9800578,24837,16900000,3375354.4,4410200.54,10000000,1478,0,0,0,0,152,144,0.41416359,0.354997363,0,472,123.7142857,198.8936432,39558.68132,0,0,0,1,0,0,0,0,0,133.2307692,110.8571429,159.3333333,152,0,0,0,0,0,0,7,776,6,956,8192,33,6,20,1302363.0,0.0,1302363,1302363,9800578.0,0.0,9800578,9800578,BENIGN
