 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53,210,2,2,66,214,33,33,33.0,0.0,107,107,107.0,0.0,1333333.333,19047.61905,70.0,115.1824639,203,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,9523.809524,9523.809524,33,107,62.6,40.53146926,1642.8,0,0,0,0,0,0,0,0,1,78.25,33.0,107.0,40,0,0,0,0,0,0,2,66,2,214,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,193,2,2,102,306,51,51,51.0,0.0,153,153,153.0,0.0,2113989.637,20725.3886,64.33333333,108.8316743,190,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,0,0,0,0,40,40,10362.6943,10362.6943,51,153,91.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,114.75,51.0,153.0,40,0,0,0,0,0,0,2,102,2,306,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,221767,1,1,44,80,44,44,44.0,0.0,80,80,80.0,0.0,559.1454094,9.018474345,221767.0,0.0,221767,221767,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,4.509237172,4.509237172,44,80,56.0,20.78460969,432.0,0,0,0,0,0,0,0,0,1,84.0,44.0,80.0,20,0,0,0,0,0,0,1,44,1,80,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,148,2,2,86,118,43,43,43.0,0.0,59,59,59.0,0.0,1378378.378,27027.02703,49.33333333,79.38723659,141,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,13513.51351,13513.51351,43,59,49.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,61.75,43.0,59.0,64,0,0,0,0,0,0,2,86,2,118,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5743452,4,2,12,0,6,0,3.0,3.464101615,0,0,0.0,0.0,2.089335821,1.044667911,1148690.4,2542829.312,5697396,102,5743452,1914484.0,3276097.903,5697396,22760,22776,22776.0,0.0,22776,22776,0,0,0,0,104,64,0.696445274,0.348222637,0,6,1.714285714,2.927700219,8.571428571,0,0,0,1,0,0,0,0,0,2.0,3.0,0.0,104,0,0,0,0,0,0,4,12,2,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,279,2,2,70,174,35,35,35.0,0.0,87,87,87.0,0.0,874551.9713,14336.91756,93.0,157.6197957,275,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,40,40,7168.458781,7168.458781,35,87,55.8,28.48157299,811.2,0,0,0,0,0,0,0,0,1,69.75,35.0,87.0,40,0,0,0,0,0,0,2,70,2,174,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,62940,2,2,68,202,34,34,34.0,0.0,101,101,101.0,0.0,4289.799809,63.55258977,20980.0,36292.53357,62887,4,49,49.0,0.0,49,49,4,4.0,0.0,4,4,0,0,0,0,64,64,31.77629488,31.77629488,34,101,60.8,36.69741135,1346.7,0,0,0,0,0,0,0,0,1,76.0,34.0,101.0,64,0,0,0,0,0,0,2,68,2,202,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,145,2,2,60,92,30,30,30.0,0.0,46,46,46.0,0.0,1048275.862,27586.2069,48.33333333,78.51963661,139,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,13793.10345,13793.10345,30,46,36.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,45.5,30.0,46.0,64,0,0,0,0,0,0,2,60,2,92,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53115,31,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,64516.12903,31.0,0.0,31,31,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32258.06452,32258.06452,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,130,434,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,66602055,15,15,793,6528,405,0,52.86666667,112.3736539,2840,0,435.2,842.8382492,109.9215332,0.450436552,2296622.586,4076893.148,9997214,4,61800000,4416968.714,5026882.98,10100000,459,66500000,4753465.929,4904337.388,10100000,4,0,0,0,0,312,384,0.225218276,0.225218276,0,2840,236.1612903,613.0804785,375867.6731,0,0,0,1,0,0,0,0,1,244.0333333,52.86666667,435.2,312,0,0,0,0,0,0,15,793,15,6528,8192,239,14,20,344329.5,710212.9058,1794043,53355,9961930.833,79250.45306,9997214,9800524,BENIGN
